emp_no,first_name,last_name,gender,hire_date,dept_name,title,salary,tenure_years,tenure_segment
16537,Weidon,Seiwald,M,1986-01-15,Development,"Senior Engineer",59802,16.54,"Veteran (15+ yrs)"
17631,Howell,Versino,M,1986-01-17,Production,"Senior Engineer",54564,16.54,"Veteran (15+ yrs)"
10329,Remko,Shigei,F,1986-01-20,Production,"Technique Leader",89171,16.53,"Veteran (15+ yrs)"
10494,Yakkov,Servieres,F,1986-01-18,Production,"Senior Engineer",66837,16.53,"Veteran (15+ yrs)"
12032,Oguz,Etalle,M,1986-01-21,Development,"Senior Engineer",69675,16.53,"Veteran (15+ yrs)"
13014,Gianluca,Budinsky,M,1986-01-21,Production,"Senior Engineer",72475,16.53,"Veteran (15+ yrs)"
13105,Zito,Carrere,F,1986-01-19,Development,"Senior Engineer",86772,16.53,"Veteran (15+ yrs)"
13457,Shooichi,Parfitt,M,1986-01-18,"Quality Management","Senior Engineer",77764,16.53,"Veteran (15+ yrs)"
14603,Lech,Marquardt,M,1986-01-19,Development,"Senior Engineer",86553,16.53,"Veteran (15+ yrs)"
16658,Florian,Soicher,M,1986-01-18,Research,"Senior Staff",85228,16.53,"Veteran (15+ yrs)"
16995,Parviz,Ranai,F,1986-01-21,Finance,Staff,60248,16.53,"Veteran (15+ yrs)"
17035,Eldridge,Eiter,M,1986-01-20,Sales,"Senior Staff",66476,16.53,"Veteran (15+ yrs)"
17715,Patricia,Dayana,M,1986-01-21,"Customer Service",Staff,47128,16.53,"Veteran (15+ yrs)"
13669,Hidde,Peng,M,1986-01-24,Production,"Assistant Engineer",79322,16.52,"Veteran (15+ yrs)"
13960,Nechama,Hettesheimer,M,1986-01-22,Finance,"Senior Staff",56369,16.52,"Veteran (15+ yrs)"
16111,Pantung,Rijckaert,F,1986-01-24,Production,"Technique Leader",75457,16.52,"Veteran (15+ yrs)"
16411,Perla,Highland,M,1986-01-22,Development,"Senior Engineer",68744,16.52,"Veteran (15+ yrs)"
18071,Hairong,Caine,M,1986-01-22,"Human Resources","Senior Staff",71615,16.52,"Veteran (15+ yrs)"
18218,Kiyotoshi,Georgakopoulos,M,1986-01-23,Finance,"Senior Staff",93815,16.52,"Veteran (15+ yrs)"
10979,Elrique,Raney,F,1986-01-27,Production,"Senior Engineer",80142,16.51,"Veteran (15+ yrs)"
11318,Gopalakrishnan,Unno,F,1986-01-25,Sales,"Senior Staff",105081,16.51,"Veteran (15+ yrs)"
12624,Zhongwei,Zykh,M,1986-01-25,Sales,"Senior Staff",99167,16.51,"Veteran (15+ yrs)"
15544,Wilmer,Molenkamp,F,1986-01-26,Marketing,"Senior Staff",93595,16.51,"Veteran (15+ yrs)"
16062,Jaques,Peak,F,1986-01-25,Sales,"Senior Staff",112070,16.51,"Veteran (15+ yrs)"
10158,Khedija,Mitsuhashi,M,1986-01-29,Production,"Senior Engineer",68624,16.5,"Veteran (15+ yrs)"
12082,Xinan,Yamaashi,M,1986-01-29,Sales,"Senior Staff",105310,16.5,"Veteran (15+ yrs)"
12445,Luisa,Mahmud,M,1986-02-01,Production,"Technique Leader",93514,16.5,"Veteran (15+ yrs)"
13652,Eldridge,Ramsak,F,1986-01-30,Development,Engineer,64938,16.5,"Veteran (15+ yrs)"
13864,Gladys,Attimonelli,M,1986-01-31,Production,"Senior Engineer",96758,16.5,"Veteran (15+ yrs)"
14483,Supot,Marrevee,M,1986-01-30,Development,"Senior Engineer",63018,16.5,"Veteran (15+ yrs)"
14747,Toong,Leppanen,M,1986-02-01,Sales,Staff,83112,16.5,"Veteran (15+ yrs)"
14949,Insup,Reinhart,F,1986-02-01,Production,"Senior Engineer",75527,16.5,"Veteran (15+ yrs)"
15880,Miquel,Dechter,M,1986-01-30,Production,"Technique Leader",46310,16.5,"Veteran (15+ yrs)"
17387,Shir,Serra,F,1986-02-01,Marketing,Staff,52975,16.5,"Veteran (15+ yrs)"
10053,Sanjiv,Zschoche,F,1986-02-04,Sales,"Senior Staff",78478,16.49,"Veteran (15+ yrs)"
10709,Jiafu,Mateescu,F,1986-02-02,Research,"Senior Engineer",72950,16.49,"Veteran (15+ yrs)"
11136,Gladys,Luiz,M,1986-02-04,Development,"Senior Engineer",70716,16.49,"Veteran (15+ yrs)"
14258,Haldun,Rothenberg,M,1986-02-04,Development,"Senior Engineer",81785,16.49,"Veteran (15+ yrs)"
15248,Edwin,Baar,M,1986-02-04,Marketing,"Senior Staff",92698,16.49,"Veteran (15+ yrs)"
15889,Sasan,Azumi,M,1986-02-03,Development,"Senior Engineer",99963,16.49,"Veteran (15+ yrs)"
16394,Chinho,Gluchowski,F,1986-02-03,"Human Resources","Senior Staff",81142,16.49,"Veteran (15+ yrs)"
16633,Baoqiu,Erie,M,1986-02-03,Finance,Staff,67740,16.49,"Veteran (15+ yrs)"
16677,Shen,Badr,M,1986-02-04,Development,"Senior Engineer",97558,16.49,"Veteran (15+ yrs)"
18070,Eckart,Melichar,M,1986-02-03,Production,"Senior Engineer",68151,16.49,"Veteran (15+ yrs)"
15391,Cedric,Bonifati,M,1986-02-08,"Customer Service","Senior Engineer",122943,16.48,"Veteran (15+ yrs)"
13488,Zhiwei,Krohm,M,1986-02-09,Production,"Senior Engineer",106938,16.47,"Veteran (15+ yrs)"
13732,Danae,Hutter,M,1986-02-12,"Quality Management","Senior Engineer",82889,16.47,"Veteran (15+ yrs)"
17020,Xuejun,Homond,M,1986-02-11,Production,"Assistant Engineer",47411,16.47,"Veteran (15+ yrs)"
17271,Udaiprakash,Oxman,M,1986-02-12,Development,"Technique Leader",62338,16.47,"Veteran (15+ yrs)"
17610,Oscal,Hainaut,M,1986-02-10,Development,"Senior Engineer",102907,16.47,"Veteran (15+ yrs)"
17891,Isaac,Luiz,M,1986-02-11,Development,"Senior Engineer",78030,16.47,"Veteran (15+ yrs)"
16007,Premsyl,Dalton,M,1986-02-14,Development,"Senior Engineer",65303,16.46,"Veteran (15+ yrs)"
16129,Arnould,Domenig,F,1986-02-15,Marketing,"Senior Staff",118237,16.46,"Veteran (15+ yrs)"
17722,Caolyn,Erni,F,1986-02-14,Finance,"Senior Staff",61480,16.46,"Veteran (15+ yrs)"
17894,Irena,Swan,F,1986-02-13,Sales,"Senior Staff",93646,16.46,"Veteran (15+ yrs)"
10584,Mana,Papastamatiou,M,1986-02-17,Development,"Senior Engineer",105818,16.45,"Veteran (15+ yrs)"
11093,Licheng,Kitai,F,1986-02-17,Development,Engineer,71128,16.45,"Veteran (15+ yrs)"
12019,Mads,Ossenbruggen,M,1986-02-17,Research,"Senior Staff",67883,16.45,"Veteran (15+ yrs)"
13483,Arco,Ananiadou,M,1986-02-16,Production,"Senior Engineer",97881,16.45,"Veteran (15+ yrs)"
10820,Baocai,Pena,F,1986-02-23,Marketing,"Senior Staff",87476,16.44,"Veteran (15+ yrs)"
11684,Oksana,Gide,F,1986-02-21,Marketing,"Senior Staff",113241,16.44,"Veteran (15+ yrs)"
13386,Khosrow,Sgarro,F,1986-02-23,Development,"Technique Leader",144434,16.44,"Veteran (15+ yrs)"
13757,Soenke,Demir,F,1986-02-22,Development,"Senior Engineer",74459,16.44,"Veteran (15+ yrs)"
15676,Ziya,Rijckaert,M,1986-02-23,Development,"Senior Engineer",61869,16.44,"Veteran (15+ yrs)"
16191,Aloke,Schrift,M,1986-02-21,Production,"Senior Engineer",63558,16.44,"Veteran (15+ yrs)"
16599,Eckart,Asmuth,M,1986-02-20,Development,"Senior Engineer",63384,16.44,"Veteran (15+ yrs)"
17018,Berhard,Tasistro,F,1986-02-20,Development,"Senior Engineer",61540,16.44,"Veteran (15+ yrs)"
18075,Lein,Goodrum,M,1986-02-22,"Quality Management","Senior Engineer",86140,16.44,"Veteran (15+ yrs)"
10066,Kwee,Schusler,M,1986-02-26,Development,"Senior Engineer",103672,16.43,"Veteran (15+ yrs)"
10180,Shaw,Wendorf,M,1986-02-25,Finance,"Senior Staff",65015,16.43,"Veteran (15+ yrs)"
13098,Lijie,Fiutem,M,1986-02-26,Development,Engineer,73072,16.43,"Veteran (15+ yrs)"
13562,Mary,Cooley,M,1986-02-24,Research,"Senior Staff",66160,16.43,"Veteran (15+ yrs)"
14690,Yechezkel,Bellone,F,1986-02-25,Development,"Senior Engineer",68486,16.43,"Veteran (15+ yrs)"
16991,Oksana,Birke,F,1986-02-24,"Customer Service","Senior Staff",80594,16.43,"Veteran (15+ yrs)"
17206,Berry,DeMori,M,1986-02-25,Production,"Senior Engineer",55078,16.43,"Veteran (15+ yrs)"
10185,Duro,Sidhu,F,1986-03-01,Sales,"Senior Staff",104747,16.42,"Veteran (15+ yrs)"
11210,Kamakshi,Decaestecker,M,1986-02-27,"Human Resources","Senior Staff",68768,16.42,"Veteran (15+ yrs)"
11313,Paraskevi,Kusalik,M,1986-02-28,Marketing,"Senior Staff",95643,16.42,"Veteran (15+ yrs)"
11515,Ulf,Basawa,F,1986-02-27,Sales,Staff,75694,16.42,"Veteran (15+ yrs)"
12121,Gadiel,Vendrig,M,1986-03-02,"Quality Management","Senior Engineer",79759,16.42,"Veteran (15+ yrs)"
13195,Toshiki,Baak,M,1986-03-02,Production,"Senior Engineer",86293,16.42,"Veteran (15+ yrs)"
13850,Hyuckchul,Kroft,F,1986-02-27,"Quality Management","Technique Leader",71849,16.42,"Veteran (15+ yrs)"
15416,Toshiki,Savasere,M,1986-02-28,Marketing,"Senior Staff",103156,16.42,"Veteran (15+ yrs)"
15454,Hongzue,Cesareni,F,1986-02-27,Sales,"Senior Staff",89453,16.42,"Veteran (15+ yrs)"
15877,Yannik,Kroll,M,1986-03-02,Production,Engineer,44490,16.42,"Veteran (15+ yrs)"
16348,Xianlong,Lorcy,M,1986-02-27,Development,"Senior Engineer",56622,16.42,"Veteran (15+ yrs)"
17326,Arumugam,Ramsay,F,1986-02-28,Development,"Senior Engineer",76171,16.42,"Veteran (15+ yrs)"
17742,Tru,Cappelletti,M,1986-03-02,Research,"Senior Staff",75754,16.42,"Veteran (15+ yrs)"
18180,Adam,Murtafg,M,1986-03-02,Sales,"Senior Staff",85828,16.42,"Veteran (15+ yrs)"
11799,Duro,Silva,M,1986-03-03,Development,"Assistant Engineer",74385,16.41,"Veteran (15+ yrs)"
11921,Yaghout,Benner,M,1986-03-04,Production,"Senior Engineer",77855,16.41,"Veteran (15+ yrs)"
12734,Gil,Frijda,M,1986-03-03,Development,"Senior Engineer",70704,16.41,"Veteran (15+ yrs)"
13604,Tzu,Stille,M,1986-03-03,Sales,"Senior Staff",102021,16.41,"Veteran (15+ yrs)"
13789,Ramalingam,Ranst,M,1986-03-04,Production,"Senior Engineer",104703,16.41,"Veteran (15+ yrs)"
15157,Eckart,Ramras,F,1986-03-05,Marketing,"Senior Staff",87332,16.41,"Veteran (15+ yrs)"
16321,Parviz,Schlenzig,M,1986-03-04,"Customer Service","Senior Staff",76037,16.41,"Veteran (15+ yrs)"
16740,Greger,Oehlmann,M,1986-03-06,Sales,"Senior Staff",96996,16.41,"Veteran (15+ yrs)"
17591,Qingxiang,Brickell,F,1986-03-04,Development,"Senior Engineer",70630,16.41,"Veteran (15+ yrs)"
17900,Sakthirel,Belinskaya,M,1986-03-03,Development,"Senior Engineer",65704,16.41,"Veteran (15+ yrs)"
17907,Kotesh,Bernini,M,1986-03-04,Finance,"Senior Staff",82097,16.41,"Veteran (15+ yrs)"
10429,Martien,Improta,F,1986-03-09,Development,"Senior Engineer",70554,16.4,"Veteran (15+ yrs)"
13276,Yechiam,Seuren,M,1986-03-09,Finance,"Senior Staff",101156,16.4,"Veteran (15+ yrs)"
13808,Becky,Stentiford,F,1986-03-08,Sales,"Senior Staff",94005,16.4,"Veteran (15+ yrs)"
16309,Ronnie,Cools,F,1986-03-09,Development,"Senior Engineer",75036,16.4,"Veteran (15+ yrs)"
17548,Xuedong,Fujisaki,M,1986-03-09,Sales,Staff,71599,16.4,"Veteran (15+ yrs)"
13341,Bodh,Doering,F,1986-03-11,Marketing,"Senior Staff",68837,16.39,"Veteran (15+ yrs)"
13398,Fuqing,Valette,M,1986-03-10,Research,"Senior Staff",68219,16.39,"Veteran (15+ yrs)"
15407,Magy,Zultner,F,1986-03-12,Production,"Senior Engineer",46816,16.39,"Veteran (15+ yrs)"
15917,Jaroslava,Einsfeld,M,1986-03-12,Development,"Senior Engineer",71474,16.39,"Veteran (15+ yrs)"
16672,Georgi,Peris,M,1986-03-13,Sales,"Senior Staff",80289,16.39,"Veteran (15+ yrs)"
16968,Patricio,Stifter,F,1986-03-13,Development,"Senior Engineer",78937,16.39,"Veteran (15+ yrs)"
17133,Arunachalam,Baezner,M,1986-03-12,Finance,"Senior Staff",71289,16.39,"Veteran (15+ yrs)"
18223,Gully,Mitchem,M,1986-03-13,Production,"Senior Staff",89602,16.39,"Veteran (15+ yrs)"
10776,Mahmut,Skafidas,F,1986-03-16,Development,"Technique Leader",95712,16.38,"Veteran (15+ yrs)"
11363,Jenwei,Milicia,M,1986-03-16,Finance,"Senior Staff",115938,16.38,"Veteran (15+ yrs)"
11376,Valery,Suomi,M,1986-03-14,Research,"Senior Staff",73698,16.38,"Veteran (15+ yrs)"
12064,Heping,Silva,M,1986-03-14,Production,"Senior Engineer",63359,16.38,"Veteran (15+ yrs)"
12535,Kazuhiko,Bergere,M,1986-03-16,Development,"Technique Leader",66126,16.38,"Veteran (15+ yrs)"
13450,Nectarios,Hennebert,F,1986-03-15,"Customer Service","Senior Engineer",69849,16.38,"Veteran (15+ yrs)"
13570,Kiyomitsu,Perez,M,1986-03-15,Finance,"Senior Staff",104550,16.38,"Veteran (15+ yrs)"
13590,Sashi,Showalter,F,1986-03-14,Production,"Senior Engineer",92478,16.38,"Veteran (15+ yrs)"
15490,Guenter,Renear,F,1986-03-15,"Quality Management","Senior Engineer",67325,16.38,"Veteran (15+ yrs)"
15624,Marit,Codenie,F,1986-03-15,Development,"Technique Leader",66711,16.38,"Veteran (15+ yrs)"
16485,Baruch,Klassen,M,1986-03-17,Sales,"Senior Staff",102184,16.38,"Veteran (15+ yrs)"
16546,Sangeeta,Lanphier,M,1986-03-16,Development,"Senior Engineer",83055,16.38,"Veteran (15+ yrs)"
16618,Sadun,Hebert,M,1986-03-16,Sales,"Senior Staff",109566,16.38,"Veteran (15+ yrs)"
10676,Valeri,Danley,F,1986-03-20,Development,Engineer,63189,16.37,"Veteran (15+ yrs)"
14374,Berthier,Tomescu,M,1986-03-20,Production,"Senior Engineer",77974,16.37,"Veteran (15+ yrs)"
14989,Shalesh,Marzano,M,1986-03-18,Development,"Senior Engineer",82823,16.37,"Veteran (15+ yrs)"
15831,Arno,Bridgland,M,1986-03-20,Development,"Senior Engineer",70199,16.37,"Veteran (15+ yrs)"
16486,Sanjay,Perin,M,1986-03-18,Research,"Senior Staff",89192,16.37,"Veteran (15+ yrs)"
17628,Saeko,Besselaar,M,1986-03-20,Marketing,"Senior Staff",86682,16.37,"Veteran (15+ yrs)"
17674,Adib,Braccini,M,1986-03-19,Development,"Senior Engineer",77594,16.37,"Veteran (15+ yrs)"
18030,Jasminko,Brookner,F,1986-03-19,Production,"Senior Engineer",89121,16.37,"Veteran (15+ yrs)"
11307,Mohd,Dratva,M,1986-03-24,Sales,"Senior Staff",75613,16.36,"Veteran (15+ yrs)"
12347,Remko,Ranze,M,1986-03-23,Marketing,"Senior Staff",92631,16.36,"Veteran (15+ yrs)"
12935,Shuzo,Sudkamp,M,1986-03-24,"Human Resources","Senior Staff",64683,16.36,"Veteran (15+ yrs)"
13677,Masasuke,Hiyoshi,M,1986-03-21,Development,"Senior Engineer",89968,16.36,"Veteran (15+ yrs)"
15965,Gudjon,Braccini,M,1986-03-24,Finance,Staff,83279,16.36,"Veteran (15+ yrs)"
17690,Panayotis,Angelopoulos,F,1986-03-24,Sales,"Senior Staff",99339,16.36,"Veteran (15+ yrs)"
17973,Sanjit,Beidas,M,1986-03-23,Development,"Senior Engineer",81798,16.36,"Veteran (15+ yrs)"
10079,Kshitij,Gils,F,1986-03-27,Development,"Technique Leader",67231,16.35,"Veteran (15+ yrs)"
11513,Otmar,Mahnke,M,1986-03-27,Finance,"Senior Staff",100474,16.35,"Veteran (15+ yrs)"
13871,Anoosh,Plavsic,F,1986-03-25,Sales,Staff,74525,16.35,"Veteran (15+ yrs)"
15280,Takushi,Heuter,M,1986-03-26,Development,"Senior Engineer",81713,16.35,"Veteran (15+ yrs)"
16205,Kerhong,Radivojevic,M,1986-03-27,Sales,"Senior Staff",124679,16.35,"Veteran (15+ yrs)"
16719,Sasan,Benantar,M,1986-03-25,"Human Resources","Senior Staff",66804,16.35,"Veteran (15+ yrs)"
16804,Alain,Wossner,M,1986-03-25,Production,"Senior Engineer",101940,16.35,"Veteran (15+ yrs)"
18185,Aris,Hempstead,F,1986-03-27,Development,"Senior Engineer",70055,16.35,"Veteran (15+ yrs)"
10557,Sashi,Karlin,M,1986-03-31,Research,"Senior Engineer",58098,16.34,"Veteran (15+ yrs)"
11638,JoAnne,Falco,M,1986-03-30,"Quality Management","Senior Engineer",95497,16.34,"Veteran (15+ yrs)"
13202,Aram,Scharstein,F,1986-03-29,Research,"Senior Staff",80558,16.34,"Veteran (15+ yrs)"
14652,Dannz,Jayawardene,M,1986-03-31,Marketing,"Senior Staff",95672,16.34,"Veteran (15+ yrs)"
15955,Yuguang,Dratva,F,1986-03-31,Production,"Senior Engineer",80895,16.34,"Veteran (15+ yrs)"
16100,Mantis,Petereit,F,1986-03-31,Finance,"Senior Staff",63762,16.34,"Veteran (15+ yrs)"
16413,Bezalel,Bahk,F,1986-03-28,Production,"Senior Engineer",72417,16.34,"Veteran (15+ yrs)"
16957,Raimond,Vandervoorde,M,1986-03-28,"Customer Service","Senior Staff",80815,16.34,"Veteran (15+ yrs)"
18020,Adhemar,Pelz,F,1986-03-31,Research,"Senior Staff",67929,16.34,"Veteran (15+ yrs)"
12359,Tokuyasu,Yetto,M,1986-04-01,"Quality Management","Technique Leader",103027,16.33,"Veteran (15+ yrs)"
12713,Byong,Demir,M,1986-04-03,Development,Engineer,47043,16.33,"Veteran (15+ yrs)"
12916,Lijie,Gihr,M,1986-04-04,Production,Engineer,57760,16.33,"Veteran (15+ yrs)"
14493,Shuichi,Nannarelli,F,1986-04-04,Finance,"Senior Staff",90678,16.33,"Veteran (15+ yrs)"
15082,Guadalupe,Zirintsis,F,1986-04-01,Development,"Technique Leader",93412,16.33,"Veteran (15+ yrs)"
11669,Leah,Anguita,M,1986-04-07,"Customer Service","Senior Engineer",47373,16.32,"Veteran (15+ yrs)"
14271,Rosita,Bernatsky,M,1986-04-07,"Customer Service","Senior Staff",69968,16.32,"Veteran (15+ yrs)"
14691,Ulf,Bolsens,M,1986-04-07,Development,Engineer,69053,16.32,"Veteran (15+ yrs)"
14824,Jeane,Luby,F,1986-04-07,"Quality Management","Senior Engineer",66116,16.32,"Veteran (15+ yrs)"
16510,Mototsugu,Vecchio,M,1986-04-06,"Customer Service","Senior Staff",75254,16.32,"Veteran (15+ yrs)"
17491,Manohar,Docker,M,1986-04-06,Research,"Senior Staff",80912,16.32,"Veteran (15+ yrs)"
17582,Kauko,Spieker,M,1986-04-06,Development,"Senior Engineer",71588,16.32,"Veteran (15+ yrs)"
18207,Toshimitsu,Eppinger,M,1986-04-06,Production,"Senior Engineer",67865,16.32,"Veteran (15+ yrs)"
10191,Zdislav,Nastansky,M,1986-04-10,Development,"Senior Engineer",59946,16.31,"Veteran (15+ yrs)"
10590,Yongqiao,Kalloufi,M,1986-04-09,Research,"Senior Staff",84721,16.31,"Veteran (15+ yrs)"
10897,Arno,Kumaresan,F,1986-04-09,Sales,"Senior Staff",136004,16.31,"Veteran (15+ yrs)"
10898,Munenori,Markovitch,F,1986-04-10,Production,"Senior Engineer",74474,16.31,"Veteran (15+ yrs)"
11305,Augustine,Schwabacher,F,1986-04-11,"Customer Service","Senior Staff",71394,16.31,"Veteran (15+ yrs)"
12489,Arnould,Munck,F,1986-04-11,Development,"Senior Engineer",98670,16.31,"Veteran (15+ yrs)"
13656,Oldrich,Ferretti,F,1986-04-09,Sales,"Senior Staff",46827,16.31,"Veteran (15+ yrs)"
15937,Steen,Snyers,F,1986-04-09,Finance,"Senior Staff",67469,16.31,"Veteran (15+ yrs)"
16086,Mohammad,Denos,M,1986-04-09,Development,"Senior Engineer",73619,16.31,"Veteran (15+ yrs)"
16839,Moriyoshi,Shrader,F,1986-04-09,Development,Engineer,51687,16.31,"Veteran (15+ yrs)"
17064,Domenick,Harnett,M,1986-04-08,Sales,"Senior Staff",115806,16.31,"Veteran (15+ yrs)"
17377,Kien,Ambroszkiewicz,F,1986-04-10,Sales,"Senior Staff",98486,16.31,"Veteran (15+ yrs)"
11197,Tadahiro,Fordan,M,1986-04-13,Sales,"Senior Staff",104016,16.3,"Veteran (15+ yrs)"
11496,Toshimo,Marakhovsky,F,1986-04-14,Production,Engineer,66512,16.3,"Veteran (15+ yrs)"
11815,Akemi,Sommen,M,1986-04-12,"Customer Service","Technique Leader",82867,16.3,"Veteran (15+ yrs)"
11817,Niranjan,Markovitch,M,1986-04-12,Sales,"Senior Staff",92720,16.3,"Veteran (15+ yrs)"
12205,Sushant,Rossi,M,1986-04-14,Development,"Senior Engineer",65174,16.3,"Veteran (15+ yrs)"
13445,Renee,Dehkordi,M,1986-04-14,Production,Engineer,63612,16.3,"Veteran (15+ yrs)"
13938,Rosella,Lueh,F,1986-04-15,Development,"Technique Leader",73979,16.3,"Veteran (15+ yrs)"
14083,Sashi,Figueira,M,1986-04-13,Production,"Senior Engineer",71350,16.3,"Veteran (15+ yrs)"
14621,Souichi,Wixon,F,1986-04-15,Sales,"Senior Staff",101661,16.3,"Veteran (15+ yrs)"
16479,Jixiang,Eiter,M,1986-04-14,Finance,"Senior Staff",93425,16.3,"Veteran (15+ yrs)"
16731,Domenico,Versino,M,1986-04-15,Development,"Senior Engineer",83219,16.3,"Veteran (15+ yrs)"
11716,Anneli,Leijenhorst,F,1986-04-17,Development,"Senior Engineer",70203,16.29,"Veteran (15+ yrs)"
14849,Aluzio,Ashish,M,1986-04-16,Finance,"Senior Staff",90860,16.29,"Veteran (15+ yrs)"
15432,Adib,Simmen,F,1986-04-16,Sales,"Senior Staff",91592,16.29,"Veteran (15+ yrs)"
16272,Shuho,Zeleznik,M,1986-04-16,Research,"Senior Engineer",71669,16.29,"Veteran (15+ yrs)"
17724,Zhiguo,Luks,F,1986-04-18,Development,"Senior Engineer",89942,16.29,"Veteran (15+ yrs)"
10729,Percy,Lorho,F,1986-04-20,Production,"Senior Engineer",70846,16.28,"Veteran (15+ yrs)"
10874,Mahmut,Borstler,M,1986-04-22,"Quality Management","Senior Engineer",84001,16.28,"Veteran (15+ yrs)"
10880,Weiye,Nitsche,M,1986-04-20,Production,"Senior Engineer",64564,16.28,"Veteran (15+ yrs)"
11278,Sumali,Juneja,M,1986-04-22,"Customer Service","Senior Staff",76604,16.28,"Veteran (15+ yrs)"
11347,Anneli,Jonsson,M,1986-04-20,Development,"Senior Engineer",73499,16.28,"Veteran (15+ yrs)"
12790,Gunilla,Perl,F,1986-04-22,Sales,"Senior Staff",103414,16.28,"Veteran (15+ yrs)"
13970,Howell,Passafiume,F,1986-04-21,Production,"Senior Engineer",89463,16.28,"Veteran (15+ yrs)"
14461,Weicheng,Hitomi,F,1986-04-20,Sales,"Senior Staff",121213,16.28,"Veteran (15+ yrs)"
15913,Shigeaki,Mattern,M,1986-04-21,Development,"Senior Engineer",90262,16.28,"Veteran (15+ yrs)"
17208,Kiyokazu,Melichar,M,1986-04-19,Sales,"Senior Staff",90425,16.28,"Veteran (15+ yrs)"
11927,Mana,Aingworth,M,1986-04-26,Sales,"Senior Staff",110068,16.27,"Veteran (15+ yrs)"
12288,Paddy,Bodoff,F,1986-04-25,Marketing,"Senior Staff",66239,16.27,"Veteran (15+ yrs)"
12596,Breannda,Roisin,M,1986-04-25,"Human Resources","Senior Staff",48777,16.27,"Veteran (15+ yrs)"
13408,Sreekrishna,Lagarias,M,1986-04-26,Production,"Senior Engineer",67204,16.27,"Veteran (15+ yrs)"
15075,Radoslaw,Rijsenbrij,M,1986-04-24,Production,"Senior Engineer",66482,16.27,"Veteran (15+ yrs)"
15213,Arie,Molenkamp,M,1986-04-25,Sales,Staff,54864,16.27,"Veteran (15+ yrs)"
16799,Shigeichiro,Bamford,M,1986-04-26,Development,"Senior Engineer",87771,16.27,"Veteran (15+ yrs)"
17412,Leni,Vilarrasa,F,1986-04-25,"Customer Service",Staff,51829,16.27,"Veteran (15+ yrs)"
17666,Chenxi,Delgrange,F,1986-04-23,Sales,"Senior Staff",74682,16.27,"Veteran (15+ yrs)"
17677,Mingdong,Ramalingam,F,1986-04-24,Development,"Senior Engineer",59371,16.27,"Veteran (15+ yrs)"
13186,Kyoichi,Barbanera,M,1986-04-29,Sales,"Senior Staff",126688,16.26,"Veteran (15+ yrs)"
15595,Tru,Waeselynck,M,1986-04-29,Production,"Senior Engineer",95876,16.26,"Veteran (15+ yrs)"
16138,Leucio,Krzyzanowski,M,1986-04-29,Marketing,"Senior Staff",102244,16.26,"Veteran (15+ yrs)"
16791,Peternela,Laurillard,M,1986-04-27,Development,Engineer,54421,16.26,"Veteran (15+ yrs)"
17473,Constantine,Ravishankar,M,1986-04-27,"Customer Service","Senior Staff",65053,16.26,"Veteran (15+ yrs)"
11459,Duke,Suomi,M,1986-05-03,"Human Resources","Senior Staff",73802,16.25,"Veteran (15+ yrs)"
11466,Naftali,Koshino,F,1986-05-03,Production,"Senior Engineer",68079,16.25,"Veteran (15+ yrs)"
13704,Vishu,Kumaresan,F,1986-05-03,Production,"Senior Engineer",73635,16.25,"Veteran (15+ yrs)"
14938,King,Mitina,M,1986-04-30,"Human Resources","Senior Staff",85226,16.25,"Veteran (15+ yrs)"
17176,Niteen,Birsak,F,1986-05-01,Sales,"Senior Staff",57470,16.25,"Veteran (15+ yrs)"
10412,Masoud,Fabrizio,F,1986-05-06,"Customer Service","Senior Engineer",84971,16.24,"Veteran (15+ yrs)"
10548,Ramalingam,Gunderson,M,1986-05-04,Marketing,"Senior Staff",126034,16.24,"Veteran (15+ yrs)"
11027,Remzi,Cappello,M,1986-05-07,Production,"Senior Engineer",71980,16.24,"Veteran (15+ yrs)"
11050,Elvis,Katiyar,M,1986-05-06,Marketing,"Senior Staff",83373,16.24,"Veteran (15+ yrs)"
12198,Shai,Huxford,M,1986-05-04,Development,"Senior Engineer",67982,16.24,"Veteran (15+ yrs)"
13170,Cheong,Bernardeschi,M,1986-05-07,"Human Resources","Senior Staff",59437,16.24,"Veteran (15+ yrs)"
14136,Vasilii,Chappelet,F,1986-05-06,Development,"Senior Engineer",85044,16.24,"Veteran (15+ yrs)"
14693,Brewster,Stranks,F,1986-05-05,"Customer Service","Senior Staff",92383,16.24,"Veteran (15+ yrs)"
14984,Sangeeta,Parhami,F,1986-05-04,Development,Engineer,73265,16.24,"Veteran (15+ yrs)"
18080,Satyanarayana,Rosar,F,1986-05-07,Production,"Senior Engineer",57911,16.24,"Veteran (15+ yrs)"
18132,Tetsurou,Heyers,F,1986-05-07,Sales,"Senior Staff",74270,16.24,"Veteran (15+ yrs)"
10564,Jianhao,Thisen,M,1986-05-08,Production,"Senior Engineer",61806,16.23,"Veteran (15+ yrs)"
12954,Dinkar,Walston,M,1986-05-08,Sales,"Senior Staff",86433,16.23,"Veteran (15+ yrs)"
18154,Shawna,Niizuma,F,1986-05-10,Development,"Senior Engineer",86877,16.23,"Veteran (15+ yrs)"
10961,Weiwu,Choobineh,M,1986-05-14,Development,"Senior Engineer",91074,16.22,"Veteran (15+ yrs)"
12879,Baruch,Eugenio,M,1986-05-14,Development,"Senior Engineer",62409,16.22,"Veteran (15+ yrs)"
