emp_no,first_name,last_name,gender,title,from_date,to_date,years_in_title,title_sequence
16209,Kristen,Stiles,F,"Senior Engineer",1989-07-08,9999-01-01,13.07,1
16210,Paloma,Hardjono,M,Staff,1991-01-18,2000-01-18,9.0,1
16210,Paloma,Hardjono,M,"Senior Staff",2000-01-18,9999-01-01,2.54,2
16211,Kiyotoshi,Swick,M,Engineer,1987-08-31,1996-08-30,9.0,1
16211,Kiyotoshi,Swick,M,"Senior Engineer",1996-08-30,9999-01-01,5.92,2
16212,Izaskun,Glinert,F,Engineer,1994-03-29,1995-05-23,1.15,1
16213,Eckart,Cairo,F,Engineer,1994-12-17,2000-12-16,6.0,1
16213,Eckart,Cairo,F,"Senior Engineer",2000-12-16,9999-01-01,1.62,2
16214,Mohamadou,Steenbeek,F,Engineer,1998-10-13,9999-01-01,3.8,1
16215,Duri,Eiron,M,"Senior Staff",1994-02-05,9999-01-01,8.48,1
16216,Venkatesan,Perng,F,Engineer,1989-02-18,1997-02-18,8.0,1
16216,Venkatesan,Perng,F,"Senior Engineer",1997-02-18,9999-01-01,5.45,2
16217,Phule,Busillo,F,"Senior Staff",1994-05-27,9999-01-01,8.18,1
16218,Lidong,Hambrick,M,Engineer,1999-05-16,9999-01-01,3.21,1
16219,Dinkar,Viele,M,Staff,1997-09-16,9999-01-01,4.87,1
16220,Alenka,Sooriamurthi,M,Staff,1995-01-01,2000-01-01,5.0,1
16220,Alenka,Sooriamurthi,M,"Senior Staff",2000-01-01,9999-01-01,2.58,2
16221,Chuanyi,Sluis,F,Staff,1994-10-20,1999-10-20,5.0,1
16221,Chuanyi,Sluis,F,"Senior Staff",1999-10-20,2001-10-25,2.02,2
16222,Shaz,Thummel,F,Engineer,1995-08-29,1997-01-11,1.37,1
16223,Eckart,Marsiglia,M,"Senior Engineer",1986-07-17,9999-01-01,16.04,1
16224,Honesty,Slobodova,M,Staff,1996-08-04,9999-01-01,5.99,1
16225,Naftaly,Klassen,M,Staff,1987-02-13,1994-02-13,7.0,1
16225,Naftaly,Klassen,M,"Senior Staff",1994-02-13,1997-01-17,2.93,2
16226,Fay,Luan,M,Staff,1993-12-12,9999-01-01,8.64,1
16227,Hitomi,Vural,F,Engineer,1985-09-25,1993-09-25,8.0,1
16227,Hitomi,Vural,F,"Senior Engineer",1993-09-25,9999-01-01,8.85,2
16228,Lein,Thambidurai,F,Staff,1987-07-05,1992-07-04,5.0,1
16228,Lein,Thambidurai,F,"Senior Staff",1992-07-04,1994-09-10,2.18,2
16229,Ronnie,Lanzelotte,F,"Senior Staff",1996-09-17,9999-01-01,5.87,1
16230,Ung,Babu,M,"Senior Staff",1996-02-19,9999-01-01,6.45,1
16231,Cheong,Masamoto,M,Staff,1986-01-09,1995-01-09,9.0,1
16231,Cheong,Masamoto,M,"Senior Staff",1995-01-09,9999-01-01,7.56,2
16232,Susumu,Cullers,M,"Assistant Engineer",1996-04-01,9999-01-01,6.33,1
16233,Sushant,Baba,M,"Senior Staff",1987-03-24,9999-01-01,15.36,1
16234,Jacopo,Basart,F,Staff,1986-05-14,1991-05-14,5.0,1
16234,Jacopo,Basart,F,"Senior Staff",1991-05-14,9999-01-01,11.22,2
16235,Otmar,Zockler,F,Engineer,1998-03-29,2001-11-28,3.67,1
16236,Chanjung,Plessier,M,"Technique Leader",1991-11-21,9999-01-01,10.69,1
16237,Slavian,Leaver,M,Engineer,1988-05-14,1993-05-14,5.0,1
16237,Slavian,Leaver,M,"Senior Engineer",1993-05-14,1993-07-12,0.16,2
16238,Takahiro,Kopetz,F,Staff,1995-09-01,9999-01-01,6.92,1
16239,Guangming,Kilgore,M,Staff,1995-07-28,9999-01-01,7.01,1
16240,Bernice,Bala,M,"Technique Leader",1987-02-28,9999-01-01,15.42,1
16241,Zeydy,Kalloufi,M,Engineer,1997-07-23,9999-01-01,5.02,1
16242,Gonzalo,Pelz,M,Engineer,1990-12-18,1993-05-13,2.4,1
16243,Flemming,Taneja,M,Staff,1990-05-07,1998-05-07,8.0,1
16243,Flemming,Taneja,M,"Senior Staff",1998-05-07,1999-09-11,1.35,2
16244,Parviz,Strandh,F,Engineer,2000-01-04,9999-01-01,2.57,1
16245,Mikhail,Collette,F,Staff,1994-10-25,2001-10-25,7.0,1
16245,Mikhail,Collette,F,"Senior Staff",2001-10-25,9999-01-01,0.77,2
16246,Makato,Masaki,M,Engineer,1996-10-10,9999-01-01,5.81,1
16247,Mohan,Velasco,F,Staff,1999-12-12,2002-04-19,2.35,1
16248,Tadahiro,Masada,M,Engineer,1988-12-16,1994-12-16,6.0,1
16248,Tadahiro,Masada,M,"Senior Engineer",1994-12-16,9999-01-01,7.62,2
16249,Yagil,Kusakari,F,Engineer,1989-11-02,1998-11-02,9.0,1
16249,Yagil,Kusakari,F,"Senior Engineer",1998-11-02,9999-01-01,3.75,2
16250,Chinya,Beznosov,M,Engineer,1998-10-02,9999-01-01,3.83,1
16251,Shih,Stranks,M,Engineer,1986-07-30,1992-07-29,6.0,1
16251,Shih,Stranks,M,"Senior Engineer",1992-07-29,9999-01-01,10.01,2
16252,Carrsten,Mattern,F,Engineer,1988-07-10,1995-07-11,7.0,1
16252,Carrsten,Mattern,F,"Senior Engineer",1995-07-11,9999-01-01,7.06,2
16253,Srinidhi,Prenel,F,Staff,1995-04-17,9999-01-01,7.29,1
16254,Conrado,Koprowski,M,"Senior Staff",1992-10-04,9999-01-01,9.82,1
16255,Tomokazu,Ohori,F,"Senior Engineer",1988-12-06,2001-03-23,12.29,1
16256,Carrsten,Jakobus,F,"Senior Staff",1988-05-02,9999-01-01,14.25,1
16257,Zhenhua,Masaki,F,Staff,1995-01-09,2002-01-09,7.0,1
16257,Zhenhua,Masaki,F,"Senior Staff",2002-01-09,9999-01-01,0.56,2
16258,Taiji,Rahier,F,"Senior Staff",1987-01-09,9999-01-01,15.56,1
16259,Lidong,Wolniewicz,F,Staff,1999-03-30,9999-01-01,3.34,1
16260,Almudena,Schapiro,M,Engineer,1993-02-21,1998-02-21,5.0,1
16260,Almudena,Schapiro,M,"Senior Engineer",1998-02-21,9999-01-01,4.44,2
16261,Tetsushi,Makrucki,M,Engineer,1991-03-27,1993-10-31,2.6,1
16262,Tsuneo,Hatcliff,M,"Senior Staff",1997-03-18,9999-01-01,5.37,1
16263,Elzbieta,Thiria,M,Staff,1987-08-22,1993-08-21,6.0,1
16263,Elzbieta,Thiria,M,"Senior Staff",1993-08-21,9999-01-01,8.94,2
16264,Vidar,Schmiedel,M,Staff,1991-01-23,1997-01-22,6.0,1
16264,Vidar,Schmiedel,M,"Senior Staff",1997-01-22,9999-01-01,5.52,2
16265,Oksana,Menhoudj,M,Staff,1994-11-06,1999-11-06,5.0,1
16265,Oksana,Menhoudj,M,"Senior Staff",1999-11-06,9999-01-01,2.74,2
16266,Mikhail,Sethi,M,"Senior Staff",1985-10-25,9999-01-01,16.77,1
16267,Divine,Beznosov,M,Staff,1986-09-30,1993-09-30,7.0,1
16267,Divine,Beznosov,M,"Senior Staff",1993-09-30,9999-01-01,8.84,2
16268,Guadalupe,Eppinger,F,"Technique Leader",1988-11-23,1997-02-11,8.22,1
16269,Sanjoy,Condotta,M,Staff,1998-10-30,9999-01-01,3.75,1
16270,Khoa,Thorelli,M,"Senior Staff",1992-07-04,9999-01-01,10.08,1
16271,Zito,Llado,F,Engineer,1988-01-21,1993-01-20,5.0,1
16271,Zito,Llado,F,"Senior Engineer",1993-01-20,1998-07-10,5.47,2
16272,Shuho,Zeleznik,M,"Assistant Engineer",1986-04-16,1991-04-16,5.0,1
16272,Shuho,Zeleznik,M,Engineer,1991-04-16,1996-04-15,5.0,2
16272,Shuho,Zeleznik,M,"Senior Engineer",1996-04-15,9999-01-01,6.29,3
16273,Chinya,Sudbeck,F,"Assistant Engineer",1989-08-31,1996-08-31,7.0,1
16273,Chinya,Sudbeck,F,Engineer,1996-08-31,1999-09-29,3.08,2
16274,Sadun,Navazio,M,Staff,1986-05-19,1994-05-19,8.0,1
16274,Sadun,Navazio,M,"Senior Staff",1994-05-19,9999-01-01,8.2,2
16275,Maja,Ruemmler,M,Engineer,1987-11-25,1994-11-25,7.0,1
16275,Maja,Ruemmler,M,"Senior Engineer",1994-11-25,9999-01-01,7.68,2
16276,Basem,Turnbull,M,Engineer,1999-10-01,9999-01-01,2.83,1
16277,Irena,Brodal,M,Engineer,1998-03-05,1999-12-02,1.74,1
16278,Marin,Pokrovskii,M,"Technique Leader",1989-02-20,9999-01-01,13.44,1
16279,Berhard,Erde,M,Staff,1994-11-14,9999-01-01,7.71,1
16280,Henk,Peot,M,"Senior Engineer",1993-05-03,2000-03-11,6.86,1
16281,Lenore,Gustavson,F,Staff,1991-07-28,1998-07-28,7.0,1
16281,Lenore,Gustavson,F,"Senior Staff",1998-07-28,9999-01-01,4.01,2
16282,Sven,Kleiser,M,"Senior Staff",1990-04-24,9999-01-01,12.27,1
16283,Izaskun,Fortenbacher,M,Staff,1987-02-17,1989-07-05,2.38,1
16284,Hugh,Rusterholz,M,Staff,1994-11-14,1999-11-14,5.0,1
16284,Hugh,Rusterholz,M,"Senior Staff",1999-11-14,9999-01-01,2.71,2
16285,Ghassan,McFarlan,M,"Senior Staff",1994-10-17,9999-01-01,7.79,1
16286,Gritta,Stille,F,Staff,1986-07-21,1991-07-21,5.0,1
16286,Gritta,Stille,F,"Senior Staff",1991-07-21,9999-01-01,11.03,2
16287,Zhanqiu,Smeets,F,"Assistant Engineer",1997-03-29,1997-11-03,0.6,1
16288,Marl,Vernadat,F,Staff,1990-02-20,1997-02-20,7.0,1
16288,Marl,Vernadat,F,"Senior Staff",1997-02-20,9999-01-01,5.44,2
16289,Muzhong,Rahimi,M,Staff,1995-06-23,9999-01-01,7.11,1
16290,Candida,Clemencon,F,Engineer,1991-12-03,1996-12-02,5.0,1
16290,Candida,Clemencon,F,"Senior Engineer",1996-12-02,9999-01-01,5.66,2
16291,Surveyors,Kuszyk,F,"Assistant Engineer",1999-03-27,9999-01-01,3.35,1
16292,Bluma,Lakshmanan,F,Engineer,1987-06-05,1994-06-05,7.0,1
16292,Bluma,Lakshmanan,F,"Senior Engineer",1994-06-05,9999-01-01,8.16,2
16293,Chinhyun,Staylopatis,F,Engineer,1993-01-31,1998-01-31,5.0,1
16293,Chinhyun,Staylopatis,F,"Senior Engineer",1998-01-31,1999-07-04,1.42,2
16294,Supot,Ballarin,F,Staff,1989-11-09,1996-11-09,7.0,1
16294,Supot,Ballarin,F,"Senior Staff",1996-11-09,9999-01-01,5.72,2
16295,Yuguang,Kisuki,M,Engineer,1997-01-23,1999-09-24,2.67,1
16296,Maria,Stellhorn,M,Engineer,1991-02-05,1996-02-05,5.0,1
16296,Maria,Stellhorn,M,"Senior Engineer",1996-02-05,9999-01-01,6.49,2
16297,Aiman,Brendel,M,Staff,1999-07-13,9999-01-01,3.05,1
16298,Anneke,Asrin,F,Engineer,1990-02-07,1996-02-07,6.0,1
16298,Anneke,Asrin,F,"Senior Engineer",1996-02-07,2000-03-02,4.07,2
16299,Jaana,DuCasse,M,Staff,1995-12-13,9999-01-01,6.63,1
16300,Jackson,Coney,F,Engineer,1990-09-03,1996-09-02,6.0,1
16300,Jackson,Coney,F,"Senior Engineer",1996-09-02,9999-01-01,5.91,2
16301,Yurii,Molenkamp,M,"Senior Engineer",2000-01-13,9999-01-01,2.55,1
16302,Bedir,Speek,M,Engineer,1985-08-10,1988-12-06,3.32,1
16303,Jamaludin,VanScheik,F,Staff,1987-12-06,1995-12-06,8.0,1
16303,Jamaludin,VanScheik,F,"Senior Staff",1995-12-06,9999-01-01,6.65,2
16304,Stepehn,Hiroyama,M,Staff,1991-01-06,1999-01-06,8.0,1
16304,Stepehn,Hiroyama,M,"Senior Staff",1999-01-06,9999-01-01,3.57,2
16305,Herb,Penttonen,M,Engineer,1985-02-04,1993-02-04,8.0,1
16305,Herb,Penttonen,M,"Senior Engineer",1993-02-04,9999-01-01,9.49,2
16306,Gor,Nations,F,Engineer,1994-09-16,1999-09-16,5.0,1
16306,Gor,Nations,F,"Senior Engineer",1999-09-16,9999-01-01,2.87,2
16307,Marlo,Setia,F,Staff,1990-07-20,1998-07-20,8.0,1
16307,Marlo,Setia,F,"Senior Staff",1998-07-20,9999-01-01,4.03,2
16308,Yannis,Waterhouse,F,Staff,1999-10-16,9999-01-01,2.79,1
16309,Ronnie,Cools,F,Engineer,1986-03-09,1993-03-09,7.0,1
16309,Ronnie,Cools,F,"Senior Engineer",1993-03-09,9999-01-01,9.4,2
16310,Yuriy,Docker,M,Staff,1993-06-23,2002-06-23,9.0,1
16310,Yuriy,Docker,M,"Senior Staff",2002-06-23,9999-01-01,0.11,2
16311,Chinhyun,Baik,M,Engineer,1992-10-17,1997-02-25,4.36,1
16312,Kiam,Vieri,M,Staff,1990-05-14,1995-07-31,5.21,1
16313,Charmane,Wilfing,M,Engineer,1995-03-07,9999-01-01,7.4,1
16314,Kamakshi,Ravishankar,M,Engineer,1996-03-22,1999-11-12,3.64,1
16315,Aleksander,Munck,F,"Senior Engineer",1985-04-08,1998-12-28,13.72,1
16316,Breannda,Angelov,M,Engineer,1991-08-16,1996-08-15,5.0,1
16316,Breannda,Angelov,M,"Senior Engineer",1996-08-15,9999-01-01,5.96,2
16317,Matk,Rohrbach,M,Engineer,1989-09-12,1996-09-12,7.0,1
16317,Matk,Rohrbach,M,"Senior Engineer",1996-09-12,9999-01-01,5.88,2
16318,Naftaly,Hiroyama,M,Staff,1999-07-16,9999-01-01,3.04,1
16319,Takushi,Hemaspaandra,F,Engineer,1987-01-30,1994-07-31,7.5,1
16320,Domenick,Ligten,M,Staff,1991-01-08,2000-01-08,9.0,1
16320,Domenick,Ligten,M,"Senior Staff",2000-01-08,9999-01-01,2.56,2
16321,Parviz,Schlenzig,M,Staff,1989-01-13,1996-01-14,7.0,1
16321,Parviz,Schlenzig,M,"Senior Staff",1996-01-14,9999-01-01,6.55,2
16322,Honglan,Mukaidono,F,Staff,1991-03-23,2000-03-22,9.0,1
16322,Honglan,Mukaidono,F,"Senior Staff",2000-03-22,9999-01-01,2.36,2
16323,Danae,Herber,M,"Technique Leader",1985-03-12,1992-09-24,7.54,1
16324,Billie,Bazzichi,M,Staff,1998-05-04,9999-01-01,4.24,1
16325,Billie,Picel,M,"Technique Leader",1998-01-29,9999-01-01,4.5,1
16326,Suvo,Beerel,F,Staff,1985-07-03,1993-07-03,8.0,1
16326,Suvo,Beerel,F,"Senior Staff",1993-07-03,9999-01-01,9.08,2
16327,Christfried,Huhdanpaa,M,Engineer,1987-09-09,1993-09-08,6.0,1
16327,Christfried,Huhdanpaa,M,"Senior Engineer",1993-09-08,9999-01-01,8.9,2
16328,Kristof,Hutton,M,"Senior Engineer",1990-04-01,2002-02-21,11.89,1
16329,Yucel,Melter,F,"Senior Engineer",1994-04-15,9999-01-01,8.3,1
16330,Dannz,Erman,M,Engineer,1994-12-06,2000-09-30,5.82,1
16331,Giap,Garnham,M,Staff,1985-12-25,1991-12-25,6.0,1
16331,Giap,Garnham,M,"Senior Staff",1991-12-25,2000-12-27,9.01,2
16332,Nigel,Akaboshi,M,Engineer,1999-09-06,9999-01-01,2.9,1
16333,Kazunori,Flanders,F,Staff,1995-10-19,9999-01-01,6.78,1
16334,Karlis,Chimia,M,Engineer,1987-01-21,1994-01-21,7.0,1
16334,Karlis,Chimia,M,"Senior Engineer",1994-01-21,9999-01-01,8.53,2
16335,Richara,Stiles,F,"Senior Staff",1992-03-10,9999-01-01,10.39,1
16336,Ranan,Akaboshi,M,Engineer,1989-08-03,1996-08-03,7.0,1
16336,Ranan,Akaboshi,M,"Senior Engineer",1996-08-03,9999-01-01,5.99,2
16337,Hironoby,Schaad,M,Engineer,1986-11-07,1994-11-07,8.0,1
16337,Hironoby,Schaad,M,"Senior Engineer",1994-11-07,9999-01-01,7.73,2
16338,Mayuri,Chartres,F,Staff,1990-11-02,1997-11-02,7.0,1
16338,Mayuri,Chartres,F,"Senior Staff",1997-11-02,9999-01-01,4.74,2
16339,Luise,Gunderson,M,Staff,1996-07-05,9999-01-01,6.07,1
16340,Tristan,Riesenhuber,M,Engineer,1997-04-12,2000-09-25,3.46,1
16341,Boutros,Fendler,F,"Senior Staff",1999-12-08,9999-01-01,2.65,1
16342,Genevieve,Homond,M,Staff,1998-03-29,9999-01-01,4.34,1
16343,Leaf,Itzigehl,F,Engineer,1996-02-29,1996-10-13,0.62,1
16344,Odoardo,Brlek,M,"Senior Engineer",1993-11-30,9999-01-01,8.67,1
16345,Utpal,Petersohn,M,Engineer,1997-06-29,2001-11-06,4.36,1
16346,Mrinalini,Snedden,M,Staff,1996-03-18,9999-01-01,6.37,1
16347,Vasilii,Yurov,M,"Assistant Engineer",1996-04-26,2002-04-26,6.0,1
16347,Vasilii,Yurov,M,Engineer,2002-04-26,9999-01-01,0.27,2
16348,Xianlong,Lorcy,M,Engineer,1993-03-28,2000-03-28,7.0,1
16348,Xianlong,Lorcy,M,"Senior Engineer",2000-03-28,9999-01-01,2.34,2
16349,Muneo,dAstous,M,Staff,1999-08-07,9999-01-01,2.98,1
16350,Mara,Wendorf,M,Engineer,1992-06-16,1994-04-28,1.86,1
16351,Ferdinand,Kragelund,M,Staff,1990-05-30,1991-07-20,1.14,1
16352,JiYoung,Kushnir,M,"Senior Engineer",1994-10-05,9999-01-01,7.82,1
16353,Shawna,Denis,F,Engineer,1987-09-29,1992-09-28,5.0,1
16353,Shawna,Denis,F,"Senior Engineer",1992-09-28,9999-01-01,9.84,2
16354,Maren,Siochi,F,Engineer,1990-12-26,1997-12-26,7.0,1
16354,Maren,Siochi,F,"Senior Engineer",1997-12-26,9999-01-01,4.6,2
16355,Nikolaos,Luca,M,Staff,1986-07-01,1992-06-30,6.0,1
16355,Nikolaos,Luca,M,"Senior Staff",1992-06-30,9999-01-01,10.09,2
16356,Sibyl,Woycyznski,F,Staff,1988-12-05,1995-12-06,7.0,1
16356,Sibyl,Woycyznski,F,"Senior Staff",1995-12-06,9999-01-01,6.65,2
16357,Arve,Perl,M,Engineer,1988-09-11,1995-09-12,7.0,1
16357,Arve,Perl,M,"Senior Engineer",1995-09-12,9999-01-01,6.89,2
16358,Rildo,Prenel,F,Engineer,1989-07-16,1996-07-16,7.0,1
16358,Rildo,Prenel,F,"Senior Engineer",1996-07-16,9999-01-01,6.04,2
16359,Shounak,Terwilliger,M,Staff,1993-07-26,1999-07-26,6.0,1
16359,Shounak,Terwilliger,M,"Senior Staff",1999-07-26,9999-01-01,3.02,2
16360,Sham,Jonsson,F,"Senior Engineer",1995-10-10,1997-05-02,1.56,1
16361,Kazuyasu,Chappelet,F,Staff,1986-08-01,1994-08-01,8.0,1
16361,Kazuyasu,Chappelet,F,"Senior Staff",1994-08-01,9999-01-01,8.0,2
16362,Niranjan,Felcyn,M,Staff,1986-04-07,1995-04-07,9.0,1
16362,Niranjan,Felcyn,M,"Senior Staff",1995-04-07,9999-01-01,7.32,2
16363,Avishai,England,M,"Assistant Engineer",1996-04-22,2001-12-28,5.68,1
16364,Yifei,Gini,M,Staff,1988-09-19,1994-09-19,6.0,1
16364,Yifei,Gini,M,"Senior Staff",1994-09-19,9999-01-01,7.87,2
16365,Janalee,Mellouli,F,Staff,1985-04-27,1990-04-27,5.0,1
16365,Janalee,Mellouli,F,"Senior Staff",1990-04-27,9999-01-01,12.26,2
16366,Siamak,Malinowski,M,Staff,1996-12-30,9999-01-01,5.59,1
16367,Shuji,Siksek,F,Staff,1999-04-23,9999-01-01,3.27,1
16368,Dinah,Soicher,F,"Technique Leader",1991-11-05,9999-01-01,10.74,1
16369,Sailaja,Tiemann,M,Engineer,1993-01-30,1995-01-13,1.95,1
16370,Adit,Cullers,F,"Senior Engineer",1987-07-26,9999-01-01,15.02,1
16371,Duri,Danlos,F,"Senior Staff",1986-09-26,9999-01-01,15.85,1
16372,Holgard,Terkki,M,"Senior Staff",1997-02-07,9999-01-01,5.48,1
16373,Narain,Aseltine,F,"Senior Staff",1994-11-13,1999-05-19,4.51,1
16374,Holgard,Nergos,F,Engineer,1987-05-21,1996-05-20,9.0,1
16374,Holgard,Nergos,F,"Senior Engineer",1996-05-20,9999-01-01,6.2,2
16375,Zvonko,Begiun,F,"Senior Staff",1991-03-06,9999-01-01,11.41,1
16376,Mamdouh,Smailagic,F,Engineer,1997-04-07,2002-04-06,5.0,1
16376,Mamdouh,Smailagic,F,"Senior Engineer",2002-04-06,9999-01-01,0.32,2
16377,Duri,Stanger,M,Engineer,1993-11-30,9999-01-01,8.67,1
16378,Ashish,Zobel,F,Staff,1986-06-06,1995-06-06,9.0,1
16378,Ashish,Zobel,F,"Senior Staff",1995-06-06,1998-09-03,3.24,2
16379,Tadanori,Marshall,M,Engineer,1985-10-08,1990-10-08,5.0,1
16379,Tadanori,Marshall,M,"Senior Engineer",1990-10-08,9999-01-01,11.81,2
16380,Zhilian,Chleq,M,Staff,1986-06-01,1994-06-01,8.0,1
16380,Zhilian,Chleq,M,"Senior Staff",1994-06-01,9999-01-01,8.17,2
16381,Phuoc,Naumovich,M,"Senior Engineer",1997-08-12,2000-10-29,3.21,1
16382,Chaoyi,Talmon,M,"Senior Engineer",1987-05-05,9999-01-01,15.24,1
16383,Lidong,Czap,F,Engineer,1986-09-24,1994-09-24,8.0,1
16383,Lidong,Czap,F,"Senior Engineer",1994-09-24,9999-01-01,7.85,2
16384,Dmitry,Heuser,F,"Senior Engineer",1996-12-27,9999-01-01,5.59,1
16385,Houman,Jonsson,M,Engineer,1998-05-25,9999-01-01,4.19,1
16386,Munehiko,Hebden,F,Engineer,1998-01-18,9999-01-01,4.53,1
16387,Randi,Bergere,M,"Senior Staff",1999-01-21,1999-08-01,0.53,1
16388,Subhankar,Georgatos,M,"Senior Staff",1996-01-30,9999-01-01,6.5,1
16389,Kwangjo,Sadowsky,M,Staff,1985-05-11,1992-05-11,7.0,1
16389,Kwangjo,Sadowsky,M,"Senior Staff",1992-05-11,9999-01-01,10.22,2
16390,Uta,Lundstrom,F,Engineer,1997-10-29,1999-11-24,2.07,1
16391,Hidekazu,Syrzycki,M,Engineer,1986-07-21,1995-07-21,9.0,1
16391,Hidekazu,Syrzycki,M,"Senior Engineer",1995-07-21,9999-01-01,7.03,2
16392,Danae,Keustermans,M,Staff,1998-10-28,9999-01-01,3.76,1
16393,Sandeepan,Rosca,F,Staff,1997-07-18,2002-07-18,5.0,1
16393,Sandeepan,Rosca,F,"Senior Staff",2002-07-18,9999-01-01,0.04,2
16394,Chinho,Gluchowski,F,Staff,1986-02-03,1995-02-03,9.0,1
16394,Chinho,Gluchowski,F,"Senior Staff",1995-02-03,9999-01-01,7.49,2
16395,Masasuke,Heering,F,Engineer,1993-04-17,1998-04-17,5.0,1
16395,Masasuke,Heering,F,"Senior Engineer",1998-04-17,9999-01-01,4.29,2
16396,Guangming,Yoshimura,M,Staff,1988-02-26,1997-02-25,9.0,1
16396,Guangming,Yoshimura,M,"Senior Staff",1997-02-25,2000-04-15,3.13,2
16397,Shimshon,Cusworth,F,Staff,1985-05-24,1990-05-24,5.0,1
16397,Shimshon,Cusworth,F,"Senior Staff",1990-05-24,9999-01-01,12.19,2
16398,Limsoon,Krzyzanowski,M,"Senior Staff",1993-07-31,9999-01-01,9.0,1
16399,Apostol,Collette,F,"Senior Staff",1992-04-16,9999-01-01,10.29,1
16400,Dietrich,Kalorkoti,M,Engineer,1993-02-25,2002-02-25,9.0,1
16400,Dietrich,Kalorkoti,M,"Senior Engineer",2002-02-25,9999-01-01,0.43,2
16401,Boriana,Hoogerwoord,F,Staff,1997-04-02,9999-01-01,5.33,1
16402,Salvador,Spell,M,Engineer,1999-10-18,2000-02-02,0.29,1
16403,Houman,Chelton,F,Staff,1998-06-12,9999-01-01,4.14,1
16404,Rafols,Rabehasaina,M,Engineer,1987-07-19,1993-07-18,6.0,1
16404,Rafols,Rabehasaina,M,"Senior Engineer",1993-07-18,9999-01-01,9.04,2
16405,Demos,Worfolk,M,Engineer,1998-11-19,9999-01-01,3.7,1
16406,Trygve,Barreiro,M,Engineer,1998-10-03,9999-01-01,3.83,1
16407,Limsoon,Dredge,M,Staff,1991-10-17,1996-10-16,5.0,1
16407,Limsoon,Dredge,M,"Senior Staff",1996-10-16,9999-01-01,5.79,2
16408,Somnath,Sinicrope,M,"Technique Leader",1990-06-30,9999-01-01,12.09,1
16409,Khedija,Papadias,M,"Assistant Engineer",1994-07-17,1999-07-17,5.0,1
16409,Khedija,Papadias,M,Engineer,1999-07-17,9999-01-01,3.04,2
16410,Eberhardt,Biron,F,"Senior Engineer",1997-01-24,2000-02-25,3.09,1
16411,Perla,Highland,M,"Assistant Engineer",1988-09-14,1993-09-14,5.0,1
16411,Perla,Highland,M,Engineer,1993-09-14,1998-09-14,5.0,2
16411,Perla,Highland,M,"Senior Engineer",1998-09-14,9999-01-01,3.88,3
16412,Moss,Tokunaga,F,"Technique Leader",1989-03-10,9999-01-01,13.39,1
16413,Bezalel,Bahk,F,Engineer,1994-06-10,2002-06-10,8.0,1
16413,Bezalel,Bahk,F,"Senior Engineer",2002-06-10,9999-01-01,0.14,2
16414,Tristan,Brookner,M,Engineer,1999-05-19,9999-01-01,3.2,1
16415,Subhash,Ohori,M,Engineer,1992-12-29,2000-12-29,8.0,1
16415,Subhash,Ohori,M,"Senior Engineer",2000-12-29,9999-01-01,1.59,2
16416,Ramzi,Kaltofen,F,Engineer,1995-12-29,2001-12-28,6.0,1
16416,Ramzi,Kaltofen,F,"Senior Engineer",2001-12-28,9999-01-01,0.59,2
16417,Akeno,Maquelin,M,Staff,1994-08-07,1999-08-07,5.0,1
16417,Akeno,Maquelin,M,"Senior Staff",1999-08-07,9999-01-01,2.98,2
16418,Atreyi,Noriega,F,Engineer,1986-02-10,1987-09-08,1.57,1
16419,Quingbo,Lubachevsky,F,Engineer,1985-09-19,1993-09-19,8.0,1
16419,Quingbo,Lubachevsky,F,"Senior Engineer",1993-09-19,1994-03-12,0.48,2
16420,Achilleas,Oberman,F,Staff,1988-02-01,1995-02-01,7.0,1
16420,Achilleas,Oberman,F,"Senior Staff",1995-02-01,9999-01-01,7.5,2
16421,Felicidad,Azumi,M,Staff,1996-06-04,9999-01-01,6.16,1
16422,Kazuhide,Perz,F,Staff,1996-12-30,9999-01-01,5.59,1
16423,Tremaine,Belinskaya,M,Staff,1997-02-19,2001-02-24,4.01,1
16424,Sajjan,Sanella,F,Staff,1993-09-10,9999-01-01,8.89,1
16425,Idoia,Beerel,M,"Senior Engineer",1989-12-15,9999-01-01,12.63,1
16426,Mabry,Dulli,M,"Senior Engineer",1996-11-27,9999-01-01,5.68,1
16427,Denny,Danecki,F,"Senior Engineer",1991-07-19,9999-01-01,11.04,1
16428,Arun,Chinin,F,"Senior Staff",1996-11-28,9999-01-01,5.67,1
16429,Mitsuyuki,Gulak,M,Engineer,1996-05-02,9999-01-01,6.25,1
16430,Paraskevi,Sifakis,F,"Senior Engineer",1986-09-06,9999-01-01,15.9,1
16431,Jinxi,Valette,M,Staff,1985-06-19,1991-06-19,6.0,1
16431,Jinxi,Valette,M,"Senior Staff",1991-06-19,9999-01-01,11.12,2
16432,Mohd,Esteva,M,Engineer,1987-02-16,1987-06-24,0.35,1
16433,Werner,Chelton,M,Engineer,1992-01-15,1996-06-25,4.44,1
16434,Zhiwei,Murtagh,F,Engineer,1997-06-21,9999-01-01,5.11,1
16435,Renee,Wissmann,M,Staff,1992-05-26,1999-05-27,7.0,1
16435,Renee,Wissmann,M,"Senior Staff",1999-05-27,9999-01-01,3.18,2
16436,Jackson,Ciolek,F,Engineer,1994-09-17,9999-01-01,7.87,1
16437,Val,Nyrup,M,Staff,1989-03-30,1996-03-30,7.0,1
